line,name,Latitude,Longitude,sort_order 
2,신촌,37.55544179,126.9361192,50
2,이대,37.55679801,126.9457582,51
2,아현,37.55735757,126.9560337,52
2,충정로,37.5598378,126.964474,53
2,용답,37.56200491,127.0507293,54
2,신답,37.56999106,127.0468202,55
2,신설동,37.5747188,127.0250937,56
2,도림천,37.51444205,126.8827026,57
2,양천구청,37.51269894,126.8660652,58
2,신정네거리,37.51979753,126.8529916,59
2,용두,37.57393805,127.0380311,60
3,지축,37.64961807,126.9121678,61
3,구파발,37.63684179,126.9187454,62
3,연신내,37.618962,126.9211621,63
3,불광,37.61020726,126.9299858,64
3,녹번,37.60076721,126.9361542,65
3,홍제,37.58871037,126.9442423,66
3,무악재,37.58238415,126.9503221,67
3,독립문,37.57441036,126.9577503,68
3,경복궁,37.5758613,126.9730627,69
3,안국,37.57672037,126.985823,70
3,종로3가,37.57114028,126.9919944,71
3,을지로3가,37.56627504,126.99265,72
3,충무로,37.5612891,126.9942074,73
3,동대입구,37.55903022,127.0054602,74
3,약수,37.55455956,127.0108225,75
3,금호,37.54811252,127.0158938,76
3,옥수,37.54098777,127.0189654,77
3,압구정,37.52643082,127.0284809,78
3,신사,37.51643246,127.0203269,79
3,잠원,37.51279911,127.0112202,80
3,고속터미널,37.50492674,127.0049499,81
3,교대,37.49281786,127.0138385,82
3,남부터미널,37.48514017,127.0162071,83
3,양재,37.48460023,127.0341743,84
3,매봉,37.48696113,127.0466146,85
3,도곡,37.49086477,127.0553234,86
3,대치,37.49456276,127.0634302,87
3,학여울,37.49671719,127.071719,88
3,대청,37.49372186,127.0794936,89
3,일원,37.48407358,127.0844518,90
3,수서,37.48738899,127.1018592,91
3,가락시장,37.49274403,127.1184857,92
3,경찰병원,37.49560314,127.1240678,93
3,오금,37.50226598,127.1278792,94
4,당고개,37.67029264,127.0790112,95
4,상계,37.66090389,127.0735754,96
4,노원,37.65626778,127.0630304,97
4,창동,37.65320848,127.0476838,98
4,쌍문,37.64884986,127.0348807,99
4,수유,37.63774523,127.0253569,100
4,미아,37.62644364,127.0261034,101
4,미아사거리,37.61328611,127.0300984,102
4,길음,37.60318391,127.0248232,103
4,성신여대입구,37.59271793,127.0164776,104
4,한성대입구,37.58839488,127.0059503,105
4,혜화,37.58180362,127.0019784,106
4,동대문,37.57041171,127.0095466,107
4,동대문역사문화공원,37.56507877,127.0075507,108
4,충무로,37.5612891,126.9942074,109
4,명동,37.56091008,126.985947,110
4,회현,37.55853532,126.9782391,111
4,서울,37.55320002,126.9728055,112
4,숙대입구,37.54519398,126.9718724,113
4,삼각지,37.53459371,126.973011,114
4,신용산,37.52961556,126.9682159,115
4,이촌,37.52252025,126.9736832,116
4,동작,37.50287037,126.9802684,117
4,이수,37.48755383,126.9821997,118
4,사당,37.47686327,126.9815951,119
4,남태령,37.46485756,126.9886565,120
5,방화,37.57700311,126.8126299,121
5,개화산,37.57227002,126.8060017,122
5,김포공항,37.56231321,126.8012784,123
5,송정,37.56147755,126.8110554,124
5,마곡,37.56019845,126.825548,125
5,발산,37.55902927,126.8373108,126
5,우장산,37.5490002,126.8364089,127
5,화곡,37.54143362,126.8404965,128
5,까치산,37.53195608,126.8466116,129
5,신정,37.52521079,126.8572904,130
5,목동,37.52619868,126.8647426,131
5,오목교,37.52445007,126.8753546,132
5,양평,37.52551169,126.8868657,133
5,영등포구청,37.52422661,126.8952891,134
5,영등포시장,37.52273452,126.9049592,135
5,신길,37.5176677,126.9143369,136
5,여의도,37.5218423,126.9244847,137
5,여의나루,37.52708516,126.932864,138
5,마포,37.53958379,126.9459204,139
5,공덕,37.54452679,126.9513638,140
5,애오개,37.5533624,126.9566133,141
5,충정로,37.56099344,126.9633733,142
5,서대문,37.56585627,126.9666374,143
5,광화문,37.57162282,126.976788,144
5,종로3가,37.57256956,126.9900617,145
5,을지로4가,37.56752502,126.9980596,146
5,동대문역사문화공원,37.56457701,127.0059162,147
5,청구,37.56029391,127.013806,148
5,신금호,37.55453249,127.0200641,149
5,행당,37.55727844,127.029232,150
5,왕십리,37.56122174,127.0366554,151
5,마장,37.56628278,127.0431634,152
5,답십리,37.56644583,127.053181,153
5,장한평,37.56150268,127.0644211,154
5,군자,37.55736319,127.0790173,155
5,아차산,37.55240114,127.0893706,156
5,광나루,37.54527866,127.1036865,157
5,천호,37.53857898,127.1237424,158
5,강동,37.53552051,127.1335296,159
5,길동,37.53781156,127.1399992,160
5,굽은다리,37.54573147,127.1429708,161
5,명일,37.55125721,127.1440007,162
5,고덕,37.55504732,127.1539494,163
5,상일동,37.55666438,127.1658292,164
5,둔촌동,37.52764137,127.1361903,165
5,올림픽공원,37.51608765,127.1306001,166
5,방이,37.50855645,127.1258547,167
5,오금,37.50226598,127.1278792,168
5,개롱,37.49781466,127.1351586,169
5,거여,37.49320733,127.1440323,170
5,마천,37.49467062,127.1523206,171
5,강일,37.5575266,127.175938,172
5,미사,37.56325382,127.1929789,173
5,하남풍산,37.55205767,127.2038706,174
5,하남시청,37.54192203,127.206391,175
5,하남검단산,37.53975914,127.2234445,176
